dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.0,0.0,1991,0,0.0,36.48401641845703
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.02,0.02,1991,0,0.02,51.91006636619568
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.04,0.04,1991,0,0.04,58.053067445755005
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.06,0.06,1991,0,0.06,59.9852933883667
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.08,0.08,1991,0,0.08,62.573981046676636
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.1,0.1,1991,0,0.1,64.20186567306519
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.12,0.12,1991,0,0.12,51.66943883895874
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.14,0.14,1991,0,0.14,47.28994607925415
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.16,0.16,1991,0,0.16,59.84722638130188
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.18,0.18,1991,0,0.18,64.27311253547668
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.2,0.2,1991,0,0.2,51.733365297317505
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.22,0.22,1991,0,0.22,56.748525857925415
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.24,0.24,1991,0,0.24,62.57411217689514
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.26,0.26,1991,0,0.26,56.463348150253296
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.28,0.28,1991,0,0.28,63.000948667526245
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.3,0.2908589780411339,1536,63190.39912443887,0.29173860423623627,113.54477953910828
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.32,0.30427338456403125,1533,63370.80364432422,0.3059623814064285,78.77820754051208
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.34,0.31888007941928015,1533,64397.113477046994,0.3198828598400214,233.66084122657776
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.36,0.33086806793713935,1472,75271.16832364652,0.3334195922005513,119.43787240982056
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_normal_s3,0.38,0.34553024123987863,1529,64487.32005794449,0.34791830621473924,119.67175960540771
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
