dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.0,0.0,2017,0,0.0,48.75434899330139
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.02,0.02,2017,0,0.02,40.855623960494995
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.04,0.04,2017,0,0.04,38.094372034072876
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.06,0.06,2017,0,0.06,48.79981446266174
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.08,0.08,2017,0,0.08,41.5413293838501
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.1,0.1,2017,0,0.1,42.42170834541321
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.12,0.12,2017,0,0.12,34.29985237121582
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.14,0.14,2017,0,0.14,38.491743087768555
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.16,0.16,2017,0,0.16,48.85822772979736
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.18,0.18,2017,0,0.18,46.426393270492554
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.2,0.2,2017,0,0.2,39.55441379547119
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.22,0.22,2017,0,0.22,28.781041145324707
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.24,0.24,2017,0,0.24,38.78826379776001
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.26,0.26,2017,0,0.26,46.222472190856934
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.28,0.28,2017,0,0.28,42.67208194732666
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.3,0.2925838193389095,1535,34625.00727613505,0.29155178258381054,52.56543445587158
dataset,alpha,fitness,rejected,cost,fitness_train,time_train
nsf_rural_easy_s3,0.32,0.30596803120084615,1535,34625.007276135046,0.3054939476258479,70.74656844139099
